id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
602788,API,Google,Yes,No,1,2.0,1395,2.0,Unsubscribed,,,No,No,No,No,No,No,,,No
603623,Landing Page Submission,Direct Traffic,No,No,0,3.0,14,3.0,Email Opened,Healthcare Management,,No,No,No,No,No,No,,,No
607049,Landing Page Submission,Direct Traffic,No,No,1,2.0,1074,2.0,SMS Sent,Business Administration,,No,No,No,No,No,No,,,Yes
622189,API,Organic Search,No,No,1,5.0,277,2.5,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
637039,Landing Page Submission,Google,No,No,1,2.0,240,2.0,SMS Sent,Finance Management,Working Professional,No,No,No,No,No,No,14.0,20.0,No
585282,Landing Page Submission,Direct Traffic,No,No,1,8.0,936,8.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,15.0,17.0,Yes
641250,Landing Page Submission,Direct Traffic,No,No,1,2.0,1208,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,15.0,19.0,No
632772,Landing Page Submission,Direct Traffic,No,No,0,7.0,1720,2.33,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,No
622325,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
611930,API,Google,No,No,1,2.0,1651,2.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
656580,API,Referral Sites,No,No,0,3.0,170,1.5,Email Opened,,,No,No,No,No,No,No,12.0,13.0,No
641412,API,Google,No,No,0,2.0,133,2.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
606552,Landing Page Submission,Google,No,No,0,5.0,498,5.0,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,No
630757,API,Google,No,No,0,2.0,64,1.0,Page Visited on Website,,,No,No,No,No,No,No,15.0,15.0,No
595952,Landing Page Submission,Organic Search,No,No,1,5.0,1184,5.0,SMS Sent,Media and Advertising,Unemployed,No,No,No,No,No,No,13.0,15.0,Yes
591151,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,229,1.0,Email Bounced,IT Projects Management,Unemployed,No,No,No,No,No,No,16.0,13.0,No
647939,Landing Page Submission,Direct Traffic,No,No,0,2.0,253,2.0,Email Opened,Business Administration,,No,No,No,No,No,No,13.0,16.0,Yes
594035,Landing Page Submission,Google,No,No,0,4.0,30,2.0,Chat Conversation,IT Projects Management,Unemployed,No,No,No,No,No,No,,,No
582101,Landing Page Submission,Organic Search,No,No,0,4.0,95,4.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,20.0,Yes
641251,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
601915,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,,,No
641113,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
630777,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
612980,Landing Page Submission,Organic Search,No,No,1,6.0,246,6.0,Email Opened,Healthcare Management,Unemployed,No,No,No,No,No,No,,,Yes
606572,Landing Page Submission,Direct Traffic,No,No,0,2.0,43,2.0,SMS Sent,IT Projects Management,Unemployed,No,No,No,No,No,No,,,Yes
609620,Landing Page Submission,Google,No,No,1,4.0,1770,4.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,No
618358,Landing Page Submission,Direct Traffic,No,No,0,2.0,1316,2.0,Email Opened,IT Projects Management,Student,No,No,No,No,No,No,,,Yes
644594,Landing Page Submission,Direct Traffic,No,No,0,2.0,51,2.0,Email Opened,IT Projects Management,Unemployed,No,No,No,No,No,No,16.0,15.0,Yes
582018,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,17.0,16.0,No
634314,Landing Page Submission,Direct Traffic,No,No,1,2.0,1638,2.0,SMS Sent,Operations Management,Unemployed,No,No,No,No,No,No,14.0,17.0,Yes
604214,Landing Page Submission,Direct Traffic,No,No,1,2.0,1302,2.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,Yes
654528,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,16.0,15.0,No
652500,Landing Page Submission,Google,No,No,0,3.0,334,3.0,Form Submitted on Website,Marketing Management,,No,No,No,No,No,No,13.0,18.0,No
589033,Landing Page Submission,Direct Traffic,No,No,0,1.0,858,1.0,Converted to Lead,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
613193,Landing Page Submission,Google,No,No,1,5.0,1436,5.0,Email Opened,Media and Advertising,Unemployed,No,No,No,No,No,No,,,No
587356,Landing Page Submission,Organic Search,No,No,1,19.0,265,3.8,Had a Phone Conversation,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No
656729,API,Referral Sites,No,No,0,4.0,237,4.0,Email Opened,,,No,No,No,No,No,No,12.0,13.0,No
637159,Landing Page Submission,Google,No,No,1,3.0,1621,3.0,SMS Sent,Business Administration,Unemployed,No,No,No,No,No,No,14.0,17.0,No
654434,Landing Page Submission,Google,No,No,1,9.0,888,9.0,Email Opened,Finance Management,Student,No,No,No,No,No,No,15.0,18.0,Yes
627214,Landing Page Submission,Direct Traffic,No,No,1,6.0,23,6.0,Page Visited on Website,Marketing Management,Working Professional,No,No,No,No,No,No,,,Yes
611935,Landing Page Submission,Google,No,No,0,4.0,305,4.0,Page Visited on Website,International Business,Unemployed,No,No,No,No,No,No,,,Yes
589038,API,Chat,Yes,No,0,0.0,0,0.0,Email Bounced,,,No,No,No,No,No,No,17.0,15.0,No
590417,API,Organic Search,No,No,0,6.0,178,3.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,14.0,No
637854,Landing Page Submission,Google,No,No,1,5.0,1204,5.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,18.0,No
638022,Landing Page Submission,Direct Traffic,No,No,0,2.0,130,2.0,Unreachable,Business Administration,,No,No,No,No,No,No,12.0,18.0,Yes
584299,Landing Page Submission,Direct Traffic,No,No,0,3.0,1419,3.0,SMS Sent,International Business,Unemployed,No,No,No,No,No,No,13.0,18.0,Yes
637465,Landing Page Submission,Direct Traffic,No,No,0,2.0,222,2.0,Email Link Clicked,Operations Management,Unemployed,No,No,No,No,No,No,12.0,17.0,Yes
603303,API,Chat,No,No,0,3.0,1315,1.5,Chat Conversation,Finance Management,,No,No,No,No,No,No,16.0,14.0,Yes
615194,Landing Page Submission,Direct Traffic,No,No,0,5.0,138,5.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,,,No
622322,Landing Page Submission,Direct Traffic,No,No,0,3.0,4,3.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,,,Yes
581802,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,16.0,No
624344,API,Google,No,No,0,3.0,793,3.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,,,No
659889,Landing Page Submission,Direct Traffic,No,No,1,4.0,1435,4.0,Email Opened,Operations Management,Working Professional,No,No,No,No,No,No,12.0,18.0,Yes
583847,Landing Page Submission,Direct Traffic,No,No,0,2.0,306,2.0,Email Link Clicked,Finance Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
659094,Landing Page Submission,google,No,No,0,7.0,106,3.5,Page Visited on Website,Select,,No,No,No,No,No,No,14.0,13.0,No
657010,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,15.0,15.0,No
656795,API,Direct Traffic,No,No,0,1.0,633,1.0,Converted to Lead,,,No,No,No,No,No,No,14.0,15.0,No
585859,API,Chat,Yes,No,0,0.0,0,0.0,Email Bounced,,,No,No,No,No,No,No,15.0,15.0,No
609098,Landing Page Submission,Direct Traffic,No,No,0,2.0,63,2.0,SMS Sent,Business Administration,,No,No,No,No,No,No,,,Yes
583681,Landing Page Submission,Organic Search,No,No,0,12.0,25,6.0,Page Visited on Website,Media and Advertising,Unemployed,No,No,No,No,No,No,15.0,19.0,Yes
583141,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,16.0,No
604600,Landing Page Submission,Direct Traffic,No,No,0,2.0,739,2.0,Converted to Lead,Finance Management,Unemployed,No,No,No,No,No,No,,,Yes
643936,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Human Resource Management,Working Professional,No,No,No,No,No,No,15.0,19.0,No
592484,API,Google,No,No,1,2.0,15,1.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,16.0,15.0,No
636367,Landing Page Submission,Google,No,No,0,5.0,261,5.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,13.0,No
639385,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
649936,Landing Page Submission,Pay per Click Ads,No,No,0,3.0,125,3.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,14.0,17.0,No
604992,Landing Page Submission,Google,No,No,1,2.0,1139,2.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,,,No
633453,Landing Page Submission,Direct Traffic,No,No,0,2.0,257,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,Yes
648243,Landing Page Submission,Organic Search,No,No,0,4.0,35,2.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,12.0,17.0,Yes
635776,Lead Add Form,Reference,No,No,1,2.0,1723,1.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,15.0,17.0,No
598756,Landing Page Submission,Google,No,No,0,4.0,1065,4.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,,,No
585710,Landing Page Submission,Direct Traffic,Yes,No,0,2.0,152,2.0,Email Bounced,Services Excellence,Unemployed,No,No,No,No,No,No,12.0,13.0,No
615477,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,,,No
603334,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
600595,Landing Page Submission,Google,No,No,0,6.0,58,6.0,SMS Sent,International Business,,No,No,No,No,No,No,,,No
597846,Landing Page Submission,Google,No,No,0,8.0,233,2.0,Email Opened,Human Resource Management,,No,No,No,No,No,No,14.0,18.0,Yes
590882,API,Chat,No,No,0,0.0,0,0.0,Email Link Clicked,,,No,No,No,No,No,No,17.0,15.0,No
598572,Landing Page Submission,Google,No,No,1,5.0,57,2.5,Email Opened,Finance Management,Working Professional,No,No,No,No,No,No,,,No
591301,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,16.0,15.0,No
601727,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Student,No,No,No,No,No,No,,,No
592772,API,Organic Search,No,No,1,13.0,424,4.33,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,,,No
587499,Landing Page Submission,Direct Traffic,No,No,0,2.0,465,2.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
653908,Landing Page Submission,Organic Search,No,No,0,5.0,497,5.0,SMS Sent,Operations Management,,No,No,No,No,No,No,14.0,16.0,Yes
585872,Landing Page Submission,Direct Traffic,No,No,1,4.0,1449,4.0,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,17.0,Yes
582470,Landing Page Submission,Direct Traffic,No,No,0,2.0,1740,2.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,12.0,19.0,Yes
630663,API,Organic Search,Yes,No,0,2.0,274,2.0,Email Bounced,,,No,No,No,No,No,No,,,No
591160,API,Direct Traffic,No,No,0,2.0,1745,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
601825,Landing Page Submission,Direct Traffic,No,No,0,4.0,48,4.0,Email Opened,Media and Advertising,,No,No,No,No,No,No,,,No
601350,Landing Page Submission,Direct Traffic,No,No,1,10.0,1287,5.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,Yes
588165,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
602210,API,Google,No,No,0,5.0,125,1.25,Page Visited on Website,,,No,No,No,No,No,No,,,No
641170,API,Google,No,No,1,2.0,1227,1.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
634474,Landing Page Submission,Google,No,No,0,4.0,278,4.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No
592198,Landing Page Submission,Google,No,No,1,5.0,1335,5.0,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,15.0,20.0,No
614229,Landing Page Submission,Direct Traffic,No,No,0,8.0,96,8.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,,,Yes
632210,Landing Page Submission,Google,No,No,1,4.0,422,2.0,SMS Sent,Retail Management,Unemployed,No,No,No,No,No,No,,,No
657014,API,Organic Search,Yes,No,0,8.0,76,8.0,Email Bounced,,,No,No,No,No,No,No,13.0,15.0,No
585416,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,16.0,15.0,No
583602,Landing Page Submission,Direct Traffic,No,No,1,3.0,842,1.5,Email Opened,Finance Management,,No,No,No,No,No,No,16.0,16.0,Yes
655682,Landing Page Submission,Direct Traffic,No,No,0,3.0,46,3.0,Email Link Clicked,Finance Management,Unemployed,No,No,No,No,No,No,16.0,18.0,Yes
615754,API,Google,No,No,0,2.0,222,2.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,,,No
603772,Landing Page Submission,Direct Traffic,Yes,No,0,2.0,576,2.0,SMS Sent,Marketing Management,,No,No,No,No,No,No,,,Yes
643945,API,Google,No,No,1,2.0,1101,1.0,SMS Sent,Marketing Management,Working Professional,No,No,No,No,No,No,15.0,16.0,No
640890,API,Organic Search,No,No,0,2.0,471,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,16.0,14.0,No
583004,Landing Page Submission,Google,No,No,0,3.0,200,3.0,Email Opened,Marketing Management,,No,No,No,No,No,No,11.0,18.0,No
637120,Landing Page Submission,Direct Traffic,No,No,1,2.0,1634,2.0,SMS Sent,IT Projects Management,Unemployed,No,No,No,No,No,No,14.0,13.0,Yes
655793,Landing Page Submission,Google,No,No,1,2.0,1099,2.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,18.0,No
582361,Landing Page Submission,Direct Traffic,No,No,0,4.0,373,4.0,Had a Phone Conversation,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,20.0,Yes
615719,Landing Page Submission,Google,No,No,0,4.0,1411,4.0,SMS Sent,Hospitality Management,Unemployed,No,No,No,No,No,No,,,No
634981,API,Google,No,No,0,2.0,403,2.0,Chat Conversation,,,No,No,No,No,No,No,16.0,15.0,No
616102,Landing Page Submission,Google,No,No,1,4.0,429,4.0,SMS Sent,Supply Chain Management,Working Professional,No,No,No,No,No,No,,,No
647995,Lead Import,Facebook,No,No,0,0.0,0,0.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,13.0,15.0,No
642061,Landing Page Submission,Google,Yes,No,0,4.0,32,4.0,Email Bounced,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,17.0,No
607106,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,,,No
641510,API,Google,No,No,0,2.0,335,2.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
635329,Landing Page Submission,Direct Traffic,No,No,0,5.0,1961,5.0,SMS Sent,International Business,,No,No,No,No,No,No,14.0,18.0,Yes
643998,API,Social Media,No,No,1,2.0,942,2.0,Chat Conversation,Supply Chain Management,Unemployed,No,No,No,No,No,No,15.0,14.0,No
596770,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Marketing Management,Working Professional,No,No,No,No,No,No,,,No
624563,Landing Page Submission,Google,No,No,0,7.0,15,2.33,Email Opened,Marketing Management,,No,No,No,No,No,No,,,No
630403,Landing Page Submission,Direct Traffic,No,No,0,4.0,204,4.0,Email Opened,International Business,Unemployed,No,No,No,No,No,No,,,Yes
614729,Landing Page Submission,Direct Traffic,No,No,0,2.0,82,2.0,Email Opened,Hospitality Management,Unemployed,No,No,No,No,No,No,,,Yes
656412,Landing Page Submission,Organic Search,No,No,0,8.0,93,8.0,Email Opened,E-COMMERCE,,No,No,No,No,No,No,14.0,13.0,Yes
582172,Landing Page Submission,Google,No,No,1,4.0,1340,2.0,Email Link Clicked,Human Resource Management,Unemployed,No,No,No,No,No,No,12.0,20.0,No
601931,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,,,No
647177,API,Organic Search,No,No,0,8.0,172,8.0,Email Opened,Business Administration,,No,No,No,No,No,No,14.0,14.0,Yes
591509,Landing Page Submission,Direct Traffic,No,No,0,2.0,308,2.0,Email Link Clicked,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,17.0,Yes
655382,API,Referral Sites,No,No,0,4.0,248,2.0,Chat Conversation,,,No,No,No,No,No,No,14.0,13.0,No
644881,API,Direct Traffic,No,No,0,20.0,1165,2.5,Email Opened,,,No,No,No,No,No,No,13.0,15.0,No
631649,API,Google,No,No,1,3.0,1147,1.5,SMS Sent,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
645378,Landing Page Submission,Google,No,No,0,3.0,172,3.0,Form Submitted on Website,IT Projects Management,Unemployed,No,No,No,No,No,No,10.0,13.0,No
602203,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
593828,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
599395,API,Google,No,No,0,2.0,306,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
638412,Landing Page Submission,Google,No,No,0,2.0,774,2.0,Email Opened,Marketing Management,Working Professional,No,No,No,No,No,No,13.0,18.0,No
651760,Landing Page Submission,Google,No,No,0,3.0,271,3.0,Email Opened,Finance Management,,No,No,No,No,No,No,14.0,18.0,No
607837,Landing Page Submission,Direct Traffic,No,No,0,1.0,500,1.0,Converted to Lead,Healthcare Management,Unemployed,No,No,No,No,No,No,,,Yes
601595,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
653650,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,20.0,No
580232,Landing Page Submission,Google,No,No,1,6.0,1594,3.0,SMS Sent,Operations Management,,No,No,No,No,No,No,15.0,18.0,No
616739,Landing Page Submission,Google,Yes,No,0,28.0,81,3.5,Page Visited on Website,Retail Management,,No,No,No,No,No,No,16.0,18.0,Yes
580314,Landing Page Submission,Google,No,No,1,5.0,262,5.0,Email Opened,Marketing Management,,No,No,No,No,No,No,15.0,18.0,No
641467,API,Google,No,No,0,2.0,738,2.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
583476,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,14.0,15.0,No
631529,Landing Page Submission,Direct Traffic,No,No,0,6.0,1073,3.0,Converted to Lead,Healthcare Management,,No,No,No,No,No,No,13.0,15.0,No
604407,Landing Page Submission,Google,No,No,0,3.0,398,3.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,,,Yes
617833,Landing Page Submission,Direct Traffic,No,No,0,3.0,166,3.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,,,Yes
630828,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
580422,Landing Page Submission,Google,No,No,1,2.0,1426,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,20.0,No
604939,API,Chat,Yes,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
642719,Landing Page Submission,Organic Search,No,No,0,4.0,436,4.0,Email Opened,Travel and Tourism,Unemployed,No,No,No,No,No,No,10.0,14.0,Yes
580929,Landing Page Submission,Organic Search,No,No,0,4.0,91,4.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,7.0,20.0,Yes
659407,API,Organic Search,No,No,0,3.0,570,3.0,Converted to Lead,,,No,No,No,No,No,No,13.0,15.0,No
